SampleID	Population
AFR___ACB___HG01879	AFR___ACB
AFR___ACB___HG01880	AFR___ACB
AFR___ACB___HG01882	AFR___ACB
AFR___ACB___HG01883	AFR___ACB
AFR___ACB___HG01885	AFR___ACB
AFR___ACB___HG01886	AFR___ACB
AFR___ACB___HG01889	AFR___ACB
AFR___ACB___HG01890	AFR___ACB
AFR___ACB___HG01894	AFR___ACB
AFR___ACB___HG01896	AFR___ACB
AFR___ACB___HG01912	AFR___ACB
AFR___ACB___HG01914	AFR___ACB
AFR___ACB___HG01915	AFR___ACB
AFR___ACB___HG01956	AFR___ACB
AFR___ACB___HG01958	AFR___ACB
AFR___ACB___HG01985	AFR___ACB
AFR___ACB___HG01986	AFR___ACB
AFR___ACB___HG01988	AFR___ACB
AFR___ACB___HG01989	AFR___ACB
AFR___ACB___HG01990	AFR___ACB
AFR___ACB___HG02009	AFR___ACB
AFR___ACB___HG02010	AFR___ACB
AFR___ACB___HG02012	AFR___ACB
AFR___ACB___HG02013	AFR___ACB
AFR___ACB___HG02014	AFR___ACB
AFR___ACB___HG02051	AFR___ACB
AFR___ACB___HG02052	AFR___ACB
AFR___ACB___HG02053	AFR___ACB
AFR___ACB___HG02054	AFR___ACB
AFR___ACB___HG02095	AFR___ACB
AFR___ACB___HG02107	AFR___ACB
AFR___ACB___HG02108	AFR___ACB
AFR___ACB___HG02111	AFR___ACB
AFR___ACB___HG02143	AFR___ACB
AFR___ACB___HG02144	AFR___ACB
AFR___ACB___HG02255	AFR___ACB
AFR___ACB___HG02256	AFR___ACB
AFR___ACB___HG02281	AFR___ACB
AFR___ACB___HG02282	AFR___ACB
AFR___ACB___HG02283	AFR___ACB
AFR___ACB___HG02284	AFR___ACB
AFR___ACB___HG02307	AFR___ACB
AFR___ACB___HG02308	AFR___ACB
AFR___ACB___HG02309	AFR___ACB
AFR___ACB___HG02314	AFR___ACB
AFR___ACB___HG02315	AFR___ACB
AFR___ACB___HG02317	AFR___ACB
AFR___ACB___HG02318	AFR___ACB
AFR___ACB___HG02322	AFR___ACB
AFR___ACB___HG02323	AFR___ACB
AFR___ACB___HG02325	AFR___ACB
AFR___ACB___HG02330	AFR___ACB
AFR___ACB___HG02332	AFR___ACB
AFR___ACB___HG02334	AFR___ACB
AFR___ACB___HG02337	AFR___ACB
AFR___ACB___HG02339	AFR___ACB
AFR___ACB___HG02343	AFR___ACB
AFR___ACB___HG02419	AFR___ACB
AFR___ACB___HG02420	AFR___ACB
AFR___ACB___HG02427	AFR___ACB
AFR___ACB___HG02429	AFR___ACB
AFR___ACB___HG02433	AFR___ACB
AFR___ACB___HG02436	AFR___ACB
AFR___ACB___HG02439	AFR___ACB
AFR___ACB___HG02442	AFR___ACB
AFR___ACB___HG02445	AFR___ACB
AFR___ACB___HG02449	AFR___ACB
AFR___ACB___HG02450	AFR___ACB
AFR___ACB___HG02455	AFR___ACB
AFR___ACB___HG02470	AFR___ACB
AFR___ACB___HG02471	AFR___ACB
AFR___ACB___HG02476	AFR___ACB
AFR___ACB___HG02477	AFR___ACB
AFR___ACB___HG02479	AFR___ACB
AFR___ACB___HG02481	AFR___ACB
AFR___ACB___HG02484	AFR___ACB
AFR___ACB___HG02485	AFR___ACB
AFR___ACB___HG02489	AFR___ACB
AFR___ACB___HG02496	AFR___ACB
AFR___ACB___HG02497	AFR___ACB
AFR___ACB___HG02501	AFR___ACB
AFR___ACB___HG02502	AFR___ACB
AFR___ACB___HG02505	AFR___ACB
AFR___ACB___HG02508	AFR___ACB
AFR___ACB___HG02511	AFR___ACB
AFR___ACB___HG02536	AFR___ACB
AFR___ACB___HG02537	AFR___ACB
AFR___ACB___HG02541	AFR___ACB
AFR___ACB___HG02545	AFR___ACB
AFR___ACB___HG02546	AFR___ACB
AFR___ACB___HG02549	AFR___ACB
AFR___ACB___HG02554	AFR___ACB
AFR___ACB___HG02555	AFR___ACB
AFR___ACB___HG02557	AFR___ACB
AFR___ACB___HG02558	AFR___ACB
AFR___ACB___HG02577	AFR___ACB
AFR___ACB___HG02580	AFR___ACB
AFR___ASW___NA19625	AFR___ASW
AFR___ASW___NA19700	AFR___ASW
AFR___ASW___NA19701	AFR___ASW
AFR___ASW___NA19703	AFR___ASW
AFR___ASW___NA19704	AFR___ASW
AFR___ASW___NA19707	AFR___ASW
AFR___ASW___NA19711	AFR___ASW
AFR___ASW___NA19712	AFR___ASW
AFR___ASW___NA19713	AFR___ASW
AFR___ASW___NA19818	AFR___ASW
AFR___ASW___NA19819	AFR___ASW
AFR___ASW___NA19834	AFR___ASW
AFR___ASW___NA19835	AFR___ASW
AFR___ASW___NA19900	AFR___ASW
AFR___ASW___NA19901	AFR___ASW
AFR___ASW___NA19904	AFR___ASW
AFR___ASW___NA19908	AFR___ASW
AFR___ASW___NA19909	AFR___ASW
AFR___ASW___NA19913	AFR___ASW
AFR___ASW___NA19914	AFR___ASW
AFR___ASW___NA19916	AFR___ASW
AFR___ASW___NA19917	AFR___ASW
AFR___ASW___NA19920	AFR___ASW
AFR___ASW___NA19921	AFR___ASW
AFR___ASW___NA19922	AFR___ASW
AFR___ASW___NA19923	AFR___ASW
AFR___ASW___NA19982	AFR___ASW
AFR___ASW___NA19984	AFR___ASW
AFR___ASW___NA20126	AFR___ASW
AFR___ASW___NA20127	AFR___ASW
AFR___ASW___NA20274	AFR___ASW
AFR___ASW___NA20276	AFR___ASW
AFR___ASW___NA20278	AFR___ASW
AFR___ASW___NA20281	AFR___ASW
AFR___ASW___NA20282	AFR___ASW
AFR___ASW___NA20287	AFR___ASW
AFR___ASW___NA20289	AFR___ASW
AFR___ASW___NA20291	AFR___ASW
AFR___ASW___NA20294	AFR___ASW
AFR___ASW___NA20296	AFR___ASW
AFR___ASW___NA20298	AFR___ASW
AFR___ASW___NA20299	AFR___ASW
AFR___ASW___NA20314	AFR___ASW
AFR___ASW___NA20317	AFR___ASW
AFR___ASW___NA20318	AFR___ASW
AFR___ASW___NA20320	AFR___ASW
AFR___ASW___NA20321	AFR___ASW
AFR___ASW___NA20332	AFR___ASW
AFR___ASW___NA20334	AFR___ASW
AFR___ASW___NA20339	AFR___ASW
AFR___ASW___NA20340	AFR___ASW
AFR___ASW___NA20342	AFR___ASW
AFR___ASW___NA20346	AFR___ASW
AFR___ASW___NA20348	AFR___ASW
AFR___ASW___NA20351	AFR___ASW
AFR___ASW___NA20355	AFR___ASW
AFR___ASW___NA20356	AFR___ASW
AFR___ASW___NA20357	AFR___ASW
AFR___ASW___NA20359	AFR___ASW
AFR___ASW___NA20362	AFR___ASW
AFR___ASW___NA20412	AFR___ASW
AFR___ESN___HG02922	AFR___ESN
AFR___ESN___HG02923	AFR___ESN
AFR___ESN___HG02938	AFR___ESN
AFR___ESN___HG02941	AFR___ESN
AFR___ESN___HG02943	AFR___ESN
AFR___ESN___HG02944	AFR___ESN
AFR___ESN___HG02946	AFR___ESN
AFR___ESN___HG02947	AFR___ESN
AFR___ESN___HG02952	AFR___ESN
AFR___ESN___HG02953	AFR___ESN
AFR___ESN___HG02968	AFR___ESN
AFR___ESN___HG02970	AFR___ESN
AFR___ESN___HG02971	AFR___ESN
AFR___ESN___HG02973	AFR___ESN
AFR___ESN___HG02974	AFR___ESN
AFR___ESN___HG02976	AFR___ESN
AFR___ESN___HG02977	AFR___ESN
AFR___ESN___HG02979	AFR___ESN
AFR___ESN___HG02981	AFR___ESN
AFR___ESN___HG03099	AFR___ESN
AFR___ESN___HG03100	AFR___ESN
AFR___ESN___HG03103	AFR___ESN
AFR___ESN___HG03105	AFR___ESN
AFR___ESN___HG03108	AFR___ESN
AFR___ESN___HG03109	AFR___ESN
AFR___ESN___HG03111	AFR___ESN
AFR___ESN___HG03112	AFR___ESN
AFR___ESN___HG03114	AFR___ESN
AFR___ESN___HG03115	AFR___ESN
AFR___ESN___HG03117	AFR___ESN
AFR___ESN___HG03118	AFR___ESN
AFR___ESN___HG03120	AFR___ESN
AFR___ESN___HG03121	AFR___ESN
AFR___ESN___HG03123	AFR___ESN
AFR___ESN___HG03124	AFR___ESN
AFR___ESN___HG03126	AFR___ESN
AFR___ESN___HG03127	AFR___ESN
AFR___ESN___HG03129	AFR___ESN
AFR___ESN___HG03130	AFR___ESN
AFR___ESN___HG03132	AFR___ESN
AFR___ESN___HG03133	AFR___ESN
AFR___ESN___HG03135	AFR___ESN
AFR___ESN___HG03136	AFR___ESN
AFR___ESN___HG03139	AFR___ESN
AFR___ESN___HG03157	AFR___ESN
AFR___ESN___HG03159	AFR___ESN
AFR___ESN___HG03160	AFR___ESN
AFR___ESN___HG03162	AFR___ESN
AFR___ESN___HG03163	AFR___ESN
AFR___ESN___HG03166	AFR___ESN
AFR___ESN___HG03168	AFR___ESN
AFR___ESN___HG03169	AFR___ESN
AFR___ESN___HG03171	AFR___ESN
AFR___ESN___HG03172	AFR___ESN
AFR___ESN___HG03175	AFR___ESN
AFR___ESN___HG03189	AFR___ESN
AFR___ESN___HG03190	AFR___ESN
AFR___ESN___HG03193	AFR___ESN
AFR___ESN___HG03195	AFR___ESN
AFR___ESN___HG03196	AFR___ESN
AFR___ESN___HG03198	AFR___ESN
AFR___ESN___HG03199	AFR___ESN
AFR___ESN___HG03202	AFR___ESN
AFR___ESN___HG03265	AFR___ESN
AFR___ESN___HG03267	AFR___ESN
AFR___ESN___HG03268	AFR___ESN
AFR___ESN___HG03270	AFR___ESN
AFR___ESN___HG03271	AFR___ESN
AFR___ESN___HG03279	AFR___ESN
AFR___ESN___HG03280	AFR___ESN
AFR___ESN___HG03291	AFR___ESN
AFR___ESN___HG03294	AFR___ESN
AFR___ESN___HG03295	AFR___ESN
AFR___ESN___HG03297	AFR___ESN
AFR___ESN___HG03298	AFR___ESN
AFR___ESN___HG03300	AFR___ESN
AFR___ESN___HG03301	AFR___ESN
AFR___ESN___HG03303	AFR___ESN
AFR___ESN___HG03304	AFR___ESN
AFR___ESN___HG03311	AFR___ESN
AFR___ESN___HG03313	AFR___ESN
AFR___ESN___HG03342	AFR___ESN
AFR___ESN___HG03343	AFR___ESN
AFR___ESN___HG03351	AFR___ESN
AFR___ESN___HG03352	AFR___ESN
AFR___ESN___HG03354	AFR___ESN
AFR___ESN___HG03363	AFR___ESN
AFR___ESN___HG03366	AFR___ESN
AFR___ESN___HG03367	AFR___ESN
AFR___ESN___HG03369	AFR___ESN
AFR___ESN___HG03370	AFR___ESN
AFR___ESN___HG03372	AFR___ESN
AFR___ESN___HG03499	AFR___ESN
AFR___ESN___HG03511	AFR___ESN
AFR___ESN___HG03514	AFR___ESN
AFR___ESN___HG03515	AFR___ESN
AFR___ESN___HG03517	AFR___ESN
AFR___ESN___HG03518	AFR___ESN
AFR___ESN___HG03520	AFR___ESN
AFR___ESN___HG03521	AFR___ESN
AFR___GWD___HG02461	AFR___GWD
AFR___GWD___HG02462	AFR___GWD
AFR___GWD___HG02464	AFR___GWD
AFR___GWD___HG02465	AFR___GWD
AFR___GWD___HG02561	AFR___GWD
AFR___GWD___HG02562	AFR___GWD
AFR___GWD___HG02568	AFR___GWD
AFR___GWD___HG02570	AFR___GWD
AFR___GWD___HG02571	AFR___GWD
AFR___GWD___HG02573	AFR___GWD
AFR___GWD___HG02574	AFR___GWD
AFR___GWD___HG02582	AFR___GWD
AFR___GWD___HG02583	AFR___GWD
AFR___GWD___HG02585	AFR___GWD
AFR___GWD___HG02586	AFR___GWD
AFR___GWD___HG02588	AFR___GWD
AFR___GWD___HG02589	AFR___GWD
AFR___GWD___HG02594	AFR___GWD
AFR___GWD___HG02595	AFR___GWD
AFR___GWD___HG02610	AFR___GWD
AFR___GWD___HG02611	AFR___GWD
AFR___GWD___HG02613	AFR___GWD
AFR___GWD___HG02614	AFR___GWD
AFR___GWD___HG02620	AFR___GWD
AFR___GWD___HG02621	AFR___GWD
AFR___GWD___HG02623	AFR___GWD
AFR___GWD___HG02624	AFR___GWD
AFR___GWD___HG02628	AFR___GWD
AFR___GWD___HG02629	AFR___GWD
AFR___GWD___HG02634	AFR___GWD
AFR___GWD___HG02635	AFR___GWD
AFR___GWD___HG02642	AFR___GWD
AFR___GWD___HG02643	AFR___GWD
AFR___GWD___HG02645	AFR___GWD
AFR___GWD___HG02646	AFR___GWD
AFR___GWD___HG02666	AFR___GWD
AFR___GWD___HG02667	AFR___GWD
AFR___GWD___HG02675	AFR___GWD
AFR___GWD___HG02676	AFR___GWD
AFR___GWD___HG02678	AFR___GWD
AFR___GWD___HG02679	AFR___GWD
AFR___GWD___HG02702	AFR___GWD
AFR___GWD___HG02703	AFR___GWD
AFR___GWD___HG02715	AFR___GWD
AFR___GWD___HG02716	AFR___GWD
AFR___GWD___HG02721	AFR___GWD
AFR___GWD___HG02722	AFR___GWD
AFR___GWD___HG02756	AFR___GWD
AFR___GWD___HG02757	AFR___GWD
AFR___GWD___HG02759	AFR___GWD
AFR___GWD___HG02760	AFR___GWD
AFR___GWD___HG02763	AFR___GWD
AFR___GWD___HG02768	AFR___GWD
AFR___GWD___HG02769	AFR___GWD
AFR___GWD___HG02771	AFR___GWD
AFR___GWD___HG02772	AFR___GWD
AFR___GWD___HG02798	AFR___GWD
AFR___GWD___HG02799	AFR___GWD
AFR___GWD___HG02804	AFR___GWD
AFR___GWD___HG02805	AFR___GWD
AFR___GWD___HG02807	AFR___GWD
AFR___GWD___HG02808	AFR___GWD
AFR___GWD___HG02810	AFR___GWD
AFR___GWD___HG02811	AFR___GWD
AFR___GWD___HG02813	AFR___GWD
AFR___GWD___HG02814	AFR___GWD
AFR___GWD___HG02816	AFR___GWD
AFR___GWD___HG02817	AFR___GWD
AFR___GWD___HG02819	AFR___GWD
AFR___GWD___HG02820	AFR___GWD
AFR___GWD___HG02836	AFR___GWD
AFR___GWD___HG02837	AFR___GWD
AFR___GWD___HG02839	AFR___GWD
AFR___GWD___HG02840	AFR___GWD
AFR___GWD___HG02851	AFR___GWD
AFR___GWD___HG02852	AFR___GWD
AFR___GWD___HG02854	AFR___GWD
AFR___GWD___HG02855	AFR___GWD
AFR___GWD___HG02860	AFR___GWD
AFR___GWD___HG02861	AFR___GWD
AFR___GWD___HG02870	AFR___GWD
AFR___GWD___HG02878	AFR___GWD
AFR___GWD___HG02879	AFR___GWD
AFR___GWD___HG02881	AFR___GWD
AFR___GWD___HG02882	AFR___GWD
AFR___GWD___HG02884	AFR___GWD
AFR___GWD___HG02885	AFR___GWD
AFR___GWD___HG02887	AFR___GWD
AFR___GWD___HG02888	AFR___GWD
AFR___GWD___HG02890	AFR___GWD
AFR___GWD___HG02891	AFR___GWD
AFR___GWD___HG02895	AFR___GWD
AFR___GWD___HG02896	AFR___GWD
AFR___GWD___HG02982	AFR___GWD
AFR___GWD___HG02983	AFR___GWD
AFR___GWD___HG03024	AFR___GWD
AFR___GWD___HG03025	AFR___GWD
AFR___GWD___HG03027	AFR___GWD
AFR___GWD___HG03028	AFR___GWD
AFR___GWD___HG03039	AFR___GWD
AFR___GWD___HG03040	AFR___GWD
AFR___GWD___HG03045	AFR___GWD
AFR___GWD___HG03046	AFR___GWD
AFR___GWD___HG03048	AFR___GWD
AFR___GWD___HG03049	AFR___GWD
AFR___GWD___HG03240	AFR___GWD
AFR___GWD___HG03241	AFR___GWD
AFR___GWD___HG03246	AFR___GWD
AFR___GWD___HG03247	AFR___GWD
AFR___GWD___HG03258	AFR___GWD
AFR___GWD___HG03259	AFR___GWD
AFR___GWD___HG03538	AFR___GWD
AFR___GWD___HG03539	AFR___GWD
AFR___LWK___NA19017	AFR___LWK
AFR___LWK___NA19019	AFR___LWK
AFR___LWK___NA19020	AFR___LWK
AFR___LWK___NA19023	AFR___LWK
AFR___LWK___NA19024	AFR___LWK
AFR___LWK___NA19025	AFR___LWK
AFR___LWK___NA19026	AFR___LWK
AFR___LWK___NA19027	AFR___LWK
AFR___LWK___NA19028	AFR___LWK
AFR___LWK___NA19030	AFR___LWK
AFR___LWK___NA19031	AFR___LWK
AFR___LWK___NA19035	AFR___LWK
AFR___LWK___NA19036	AFR___LWK
AFR___LWK___NA19037	AFR___LWK
AFR___LWK___NA19038	AFR___LWK
AFR___LWK___NA19041	AFR___LWK
AFR___LWK___NA19042	AFR___LWK
AFR___LWK___NA19043	AFR___LWK
AFR___LWK___NA19044	AFR___LWK
AFR___LWK___NA19307	AFR___LWK
AFR___LWK___NA19308	AFR___LWK
AFR___LWK___NA19309	AFR___LWK
AFR___LWK___NA19310	AFR___LWK
AFR___LWK___NA19312	AFR___LWK
AFR___LWK___NA19314	AFR___LWK
AFR___LWK___NA19315	AFR___LWK
AFR___LWK___NA19316	AFR___LWK
AFR___LWK___NA19317	AFR___LWK
AFR___LWK___NA19318	AFR___LWK
AFR___LWK___NA19319	AFR___LWK
AFR___LWK___NA19320	AFR___LWK
AFR___LWK___NA19321	AFR___LWK
AFR___LWK___NA19323	AFR___LWK
AFR___LWK___NA19324	AFR___LWK
AFR___LWK___NA19327	AFR___LWK
AFR___LWK___NA19328	AFR___LWK
AFR___LWK___NA19331	AFR___LWK
AFR___LWK___NA19332	AFR___LWK
AFR___LWK___NA19334	AFR___LWK
AFR___LWK___NA19338	AFR___LWK
AFR___LWK___NA19346	AFR___LWK
AFR___LWK___NA19347	AFR___LWK
AFR___LWK___NA19350	AFR___LWK
AFR___LWK___NA19351	AFR___LWK
AFR___LWK___NA19355	AFR___LWK
AFR___LWK___NA19359	AFR___LWK
AFR___LWK___NA19360	AFR___LWK
AFR___LWK___NA19371	AFR___LWK
AFR___LWK___NA19372	AFR___LWK
AFR___LWK___NA19374	AFR___LWK
AFR___LWK___NA19375	AFR___LWK
AFR___LWK___NA19376	AFR___LWK
AFR___LWK___NA19377	AFR___LWK
AFR___LWK___NA19378	AFR___LWK
AFR___LWK___NA19379	AFR___LWK
AFR___LWK___NA19380	AFR___LWK
AFR___LWK___NA19383	AFR___LWK
AFR___LWK___NA19384	AFR___LWK
AFR___LWK___NA19385	AFR___LWK
AFR___LWK___NA19390	AFR___LWK
AFR___LWK___NA19391	AFR___LWK
AFR___LWK___NA19393	AFR___LWK
AFR___LWK___NA19394	AFR___LWK
AFR___LWK___NA19395	AFR___LWK
AFR___LWK___NA19397	AFR___LWK
AFR___LWK___NA19398	AFR___LWK
AFR___LWK___NA19399	AFR___LWK
AFR___LWK___NA19401	AFR___LWK
AFR___LWK___NA19403	AFR___LWK
AFR___LWK___NA19404	AFR___LWK
AFR___LWK___NA19428	AFR___LWK
AFR___LWK___NA19429	AFR___LWK
AFR___LWK___NA19430	AFR___LWK
AFR___LWK___NA19431	AFR___LWK
AFR___LWK___NA19434	AFR___LWK
AFR___LWK___NA19435	AFR___LWK
AFR___LWK___NA19436	AFR___LWK
AFR___LWK___NA19437	AFR___LWK
AFR___LWK___NA19438	AFR___LWK
AFR___LWK___NA19439	AFR___LWK
AFR___LWK___NA19440	AFR___LWK
AFR___LWK___NA19443	AFR___LWK
AFR___LWK___NA19445	AFR___LWK
AFR___LWK___NA19446	AFR___LWK
AFR___LWK___NA19448	AFR___LWK
AFR___LWK___NA19449	AFR___LWK
AFR___LWK___NA19451	AFR___LWK
AFR___LWK___NA19452	AFR___LWK
AFR___LWK___NA19454	AFR___LWK
AFR___LWK___NA19455	AFR___LWK
AFR___LWK___NA19456	AFR___LWK
AFR___LWK___NA19457	AFR___LWK
AFR___LWK___NA19461	AFR___LWK
AFR___LWK___NA19462	AFR___LWK
AFR___LWK___NA19463	AFR___LWK
AFR___LWK___NA19466	AFR___LWK
AFR___LWK___NA19467	AFR___LWK
AFR___LWK___NA19468	AFR___LWK
AFR___LWK___NA19471	AFR___LWK
AFR___LWK___NA19472	AFR___LWK
AFR___LWK___NA19473	AFR___LWK
AFR___LWK___NA19474	AFR___LWK
AFR___LWK___NA19475	AFR___LWK
AFR___MSL___HG03052	AFR___MSL
AFR___MSL___HG03054	AFR___MSL
AFR___MSL___HG03055	AFR___MSL
AFR___MSL___HG03057	AFR___MSL
AFR___MSL___HG03058	AFR___MSL
AFR___MSL___HG03060	AFR___MSL
AFR___MSL___HG03061	AFR___MSL
AFR___MSL___HG03063	AFR___MSL
AFR___MSL___HG03064	AFR___MSL
AFR___MSL___HG03066	AFR___MSL
AFR___MSL___HG03069	AFR___MSL
AFR___MSL___HG03072	AFR___MSL
AFR___MSL___HG03073	AFR___MSL
AFR___MSL___HG03074	AFR___MSL
AFR___MSL___HG03077	AFR___MSL
AFR___MSL___HG03078	AFR___MSL
AFR___MSL___HG03079	AFR___MSL
AFR___MSL___HG03081	AFR___MSL
AFR___MSL___HG03082	AFR___MSL
AFR___MSL___HG03084	AFR___MSL
AFR___MSL___HG03085	AFR___MSL
AFR___MSL___HG03086	AFR___MSL
AFR___MSL___HG03088	AFR___MSL
AFR___MSL___HG03091	AFR___MSL
AFR___MSL___HG03095	AFR___MSL
AFR___MSL___HG03096	AFR___MSL
AFR___MSL___HG03097	AFR___MSL
AFR___MSL___HG03209	AFR___MSL
AFR___MSL___HG03212	AFR___MSL
AFR___MSL___HG03224	AFR___MSL
AFR___MSL___HG03225	AFR___MSL
AFR___MSL___HG03376	AFR___MSL
AFR___MSL___HG03378	AFR___MSL
AFR___MSL___HG03380	AFR___MSL
AFR___MSL___HG03382	AFR___MSL
